,ABKENORA,ADELAIDE,AGUASABON,ALEXANDER,AMARANTH,AMHERST ISLAND,APIROQUOIS,ARMOW,ARNPRIOR,ATIKOKAN-G1,AUBREYFALLS,BARRETT,BECK1,BECK2,BECK2 PGS,BELLE RIVER,BLAKE,BORNISH,BOW LAKE,BOW LAKE 2,BRIGHTON BEACH,BRUCEA-G1,BRUCEA-G2,BRUCEA-G3,BRUCEA-G4,BRUCEB-G5,BRUCEB-G6,BRUCEB-G7,BRUCEB-G8,CALSTOCKGS,CAMERONFALLS,CANYON,CARDINAL,CARIBOUFALLS,CARMICHAEL,CEDAR POINT 2,CHATSFALLS,CHENAUX,CLERGUE,COMBER,DA WATSON,DARLINGTON-G1,DARLINGTON-G2,DARLINGTON-G3,DARLINGTON-G4,DECEWFALLS,DECEWND1,DESJOACHIMS,DESTEC,DILLON,DOWCHEMICAL,DPNTMTLND,EARFALLS,EAST LAKE,EAST WINDSOR-G1,EAST WINDSOR-G2,ERIEAU,FORTFRANCSWC,GARTSHORE,GOSFIELDWGS,GOSHEN,GOULAIS,GRAND VALLEY 3,GRANDSF,GRANDWF,GREENFIELD ENERGY CENTRE-G1,GREENFIELD ENERGY CENTRE-G2,GREENFIELD ENERGY CENTRE-G3,GREENFIELD ENERGY CENTRE-G4,GREENFIELD SOUTH-G1,GREENFIELD SOUTH-G2,GREENWICH,GTAA-G1,GTAA-G2,GTAA-G3,HALTONHILLS-LT_G1,HALTONHILLS-LT_G2,HALTONHILLS-LT_G3,HARMON,HARMON 2,HARRIS,HENVEY NORTH,HENVEY SOUTH,HOLDEN,HOLINGSWTH,JERICHO,K2WIND,KAKABEKA,KAPGS,KINGSBRIDGE,KINGSTONSF,KIPLING,KIPLING 2,LAKESUPERIOR,LANDON,LENNOX-G1,LENNOX-G2,LENNOX-G3,LENNOX-G4,LITTLELONG,LITTLELONG 2,LONGSAULTE,LOWER WHITE RIVER,LOWERNOTCH,MACKAYGS,MANITOUFALLS,MCLEANSMTNWF-LT_AG_T1,MISSION,MTNCHUTE,NAGAGAMI,NANTICOKE SOLAR,NAPANEE-G1,NAPANEE-G2,NIPIGONGS,NORTH KENT,NORTHBAYGS,NORTHLAND POWER SOLAR FACILITIES,NPCOCHRANE,NPIROQFALLS,NPKIRKLAND-G1-G5,NPKIRKLAND-G6,OTTERRAPIDS,PAROCHES,PETER SUTHERLAND SR,PICKERINGA-G1,PICKERINGA-G4,PICKERINGB-G5,PICKERINGB-G6,PICKERINGB-G7,PICKERINGB-G8,PINEPORTAGE,PORT BURWELL,PORTALMA-T1,PORTALMA-T3,PORTLANDS-G1,PORTLANDS-G2,PORTLANDS-G3,PRINCEFARM,RAILBEDWF-LT_AG_SR,RAYNER,REDROCK,RIPLEY SOUTH,SANDUSK-LT_AG_T1,SAUNDERS,SHANNON,SILVERFALLS,SITHE GOREWAY-G11,SITHE GOREWAY-G12,SITHE GOREWAY-G13,SITHE GOREWAY-G15,SMOKY 2,SOUTHGATE SF,SPENCE,STCLAIRCGS,STEEPHILL,STEWARTVLE,STONE MILLS SF,SUMMERHAVEN,TADOUGLAS,TAOHSC,TASARNIA,TAWINDSOR,TBAYBOWATER CTS,THOROLDCGS,THUNDERBAY-G3,TUNISGS,UMBATAFALLS,UNDERWOOD,UPPER WHITE RIVER,WELLS,WEST LINCOLN NRWF,WESTWINDSOR,WHITBYCGS,WHITEDOG,WINDSOR AIRPORT SF,WOLFE ISLAND,YORKCGS-G1,YORKCGS-G2,ZURICH
2019-01-01 00:00:00,10,0,15,45,32,0,81,42,0,0,0,0,184,1051,0,0,1,0,18,37,0,783,786,0,740,817,807,828,815,10,55,0,0,59,9,0,72,70,35,154,15,872,0,885,881,72,16,204,0,75,7,0,25,95,0,0,94,1,32,46,0,18,0,0,38,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,3,,,140,0,0,1,21,0,29,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,43,44,5,0,5,0,0,0,0,0,0,0,0,0,71,0,0,47,0,512,512,508,522,515,432,48,8,54,64,0,0,0,86,0,0,18,8,101,873,17,31,0,0,0,0,0,0,0,0,2,0,0,0,0,0,97,0,0,0,0,0,11,45,3,0,5,0,57,46,0,86,0,0,37
2019-01-01 01:00:00,10,0,15,45,75,0,81,1,0,0,0,0,182,1058,0,0,0,0,15,30,0,783,786,0,740,817,806,828,818,10,55,0,0,59,9,0,72,70,35,86,15,872,0,885,881,72,16,208,0,72,7,0,25,83,0,0,94,1,31,35,0,17,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,,,87,0,0,1,20,0,19,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,44,54,4,0,5,0,0,0,0,0,0,0,0,0,72,0,0,46,0,513,512,508,522,517,433,48,8,21,26,0,0,0,75,0,0,18,8,101,873,37,31,0,0,0,0,0,0,0,0,2,0,0,0,0,0,97,0,0,0,0,0,11,2,3,0,7,0,57,46,0,189,0,0,36
2019-01-01 02:00:00,10,0,16,45,59,0,81,0,0,0,0,0,183,1005,0,0,0,0,12,25,0,783,786,0,741,818,811,827,815,10,55,0,0,59,9,0,72,70,36,31,15,871,0,885,881,72,16,209,0,72,7,0,25,81,0,0,92,1,31,15,0,9,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,,,85,0,0,1,20,0,25,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,44,48,3,0,5,0,0,0,0,0,0,0,0,0,72,0,0,46,0,513,513,506,507,517,431,48,8,4,2,0,0,0,63,0,0,18,8,100,873,16,31,0,0,0,0,0,0,0,0,2,0,0,0,0,0,97,0,0,0,0,0,11,2,3,0,7,0,57,46,0,192,0,0,51
2019-01-01 03:00:00,10,0,16,45,30,0,72,0,0,0,0,0,184,995,0,0,0,0,14,31,0,783,786,0,741,811,811,828,816,10,55,0,0,59,9,0,72,71,36,23,15,871,0,885,882,72,16,210,0,72,7,0,25,22,0,0,90,1,31,12,0,8,33,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,3,,,85,0,0,1,20,0,24,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,44,47,3,0,5,0,0,0,0,0,0,0,0,0,72,0,0,47,0,512,512,508,510,517,432,48,8,2,0,0,0,0,54,0,0,18,8,77,872,9,31,0,0,0,0,0,0,0,0,2,0,0,0,0,0,98,0,0,0,0,0,11,2,3,0,7,0,57,46,0,192,0,0,28
2019-01-01 04:00:00,10,0,16,45,52,0,79,0,0,0,0,0,184,1004,0,0,0,0,15,32,0,783,786,0,741,819,811,827,816,10,55,0,0,59,9,0,72,71,35,22,15,871,0,885,882,72,16,210,0,71,7,0,25,26,0,0,81,1,32,11,0,8,35,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,2,,,84,0,0,1,20,0,30,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,44,46,3,0,5,0,0,0,0,0,0,0,0,0,71,0,0,45,0,513,512,508,511,517,432,48,8,2,0,0,0,0,20,0,0,18,8,82,872,12,30,0,0,0,0,0,0,0,0,2,0,0,0,0,0,98,0,0,0,0,0,11,2,3,0,7,0,57,46,0,190,0,0,33
2019-01-01 05:00:00,10,0,15,45,98,0,80,0,0,0,0,0,183,1004,0,0,0,0,6,15,0,783,786,0,741,819,811,827,812,10,55,0,0,59,9,0,72,70,35,37,15,871,0,885,882,72,16,210,0,60,7,0,25,45,0,0,65,1,31,15,0,7,33,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,,,83,0,0,1,20,0,30,0,0,0,0,0,0,0,0,0,0,0,15,5,0,1,44,46,3,0,5,0,0,0,0,0,0,0,0,0,72,0,0,32,0,513,513,507,511,517,430,48,8,18,23,0,0,0,33,0,0,18,8,82,872,36,31,0,0,0,0,0,0,0,0,6,0,0,0,0,0,98,0,0,0,0,0,11,4,3,0,52,0,57,46,0,142,0,0,72
2019-01-01 06:00:00,10,0,15,45,63,0,79,0,0,0,61,0,306,1224,0,0,0,0,2,9,0,783,786,0,741,819,810,828,813,10,55,0,0,59,9,0,72,71,35,24,15,872,0,885,882,72,16,210,0,42,7,0,25,23,0,0,45,1,31,12,0,7,28,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2,,,83,0,0,1,20,0,25,0,0,0,0,0,0,0,0,0,0,0,15,5,0,1,44,38,2,0,5,0,0,0,0,0,0,0,0,0,73,0,0,26,0,513,512,507,509,517,432,49,8,2,1,0,0,0,21,0,25,18,8,41,874,13,31,0,0,0,0,0,0,0,0,5,0,0,0,0,0,97,0,0,0,0,0,11,2,3,0,7,0,57,47,0,148,0,0,42
2019-01-01 07:00:00,10,0,15,45,108,0,82,18,0,0,64,0,289,1302,0,0,0,0,6,18,0,783,786,0,741,818,810,827,816,10,55,0,0,59,9,0,72,71,34,36,21,873,0,885,882,72,16,210,0,33,7,0,25,24,0,0,37,1,31,8,0,5,27,0,35,0,3,0,0,0,0,27,0,0,0,0,0,0,0,0,2,,,84,1,0,1,20,0,27,0,0,0,0,0,0,0,0,0,0,0,15,5,0,40,44,45,2,0,5,0,0,0,0,0,0,0,0,0,73,0,0,20,0,512,512,508,511,517,433,48,8,20,26,0,0,0,18,0,33,18,8,40,875,58,31,0,0,0,0,0,0,0,0,6,0,0,0,0,0,98,0,0,0,0,0,11,17,3,0,7,0,57,48,0,85,0,0,95
2019-01-01 08:00:00,10,0,16,45,89,1,84,4,0,0,64,0,287,1286,0,0,1,0,13,31,0,783,786,0,740,818,810,827,814,10,55,0,0,59,9,0,72,71,34,14,21,873,0,885,882,72,16,210,0,13,7,0,25,18,0,0,23,1,31,2,0,3,25,1,13,0,59,0,1,0,0,27,0,0,0,0,0,0,0,0,2,,,85,1,0,1,20,0,26,1,0,0,0,0,0,0,0,0,0,0,15,5,0,43,44,38,2,0,5,0,0,0,0,0,0,0,0,0,73,0,0,11,0,513,512,508,511,517,430,49,8,8,10,0,0,0,12,0,32,18,8,41,877,42,31,0,0,0,0,0,0,28,0,6,0,0,1,0,0,99,0,0,0,0,0,11,10,3,0,7,0,57,48,0,81,0,0,90
2019-01-01 09:00:00,10,0,16,45,75,1,84,68,0,0,2,0,287,1313,0,0,24,0,11,21,0,783,786,0,740,818,810,827,814,10,56,0,0,59,9,5,73,71,34,27,21,873,0,885,882,72,16,210,0,11,7,0,25,23,0,0,23,1,31,4,32,2,21,7,44,0,81,0,1,0,0,41,0,0,0,0,0,0,0,0,3,,,87,21,20,11,20,0,19,9,0,0,0,0,0,0,0,0,0,0,14,5,0,43,44,19,3,0,5,0,0,0,0,1,0,2,0,0,73,0,0,15,0,513,511,508,510,515,432,49,8,11,17,0,0,0,8,21,35,18,19,35,878,43,31,0,0,0,0,0,0,31,0,6,21,0,17,0,0,98,0,1,0,0,0,11,19,3,0,7,0,57,48,2,84,0,0,94
