data.datetime,_disclaimer,status,countryCode,data.carbonIntensity,data.fossilFuelPercentage,units.carbonIntensity
2023-04-26T16:00:00.000Z,"This data is the exclusive property of Electricity Maps and/or related parties. If you're in doubt about your rights to use this data, please contact api@co2signal.com",ok,CA-ON,76,13.059999999999999,gCO2eq/kWh
2023-04-26 16:00:00+00:00,"This data is the exclusive property of Electricity Maps and/or related parties. If you're in doubt about your rights to use this data, please contact api@co2signal.com",ok,CA-ON,76,13.06,gCO2eq/kWh
2023-04-26 16:00:00+00:00,"This data is the exclusive property of Electricity Maps and/or related parties. If you're in doubt about your rights to use this data, please contact api@co2signal.com",ok,CA-ON,76,13.06,gCO2eq/kWh
2023-04-26 16:00:00+00:00,"This data is the exclusive property of Electricity Maps and/or related parties. If you're in doubt about your rights to use this data, please contact api@co2signal.com",ok,CA-ON,76,13.06,gCO2eq/kWh
2023-04-26 15:00:00+00:00,"This data is the exclusive property of Electricity Maps and/or related parties. If you're in doubt about your rights to use this data, please contact api@co2signal.com",ok,CA-ON,75,12.990000000000002,gCO2eq/kWh
2023-04-26 14:00:00+00:00,"This data is the exclusive property of Electricity Maps and/or related parties. If you're in doubt about your rights to use this data, please contact api@co2signal.com",ok,CA-ON,79,13.699999999999998,gCO2eq/kWh
2023-04-26 13:00:00+00:00,"This data is the exclusive property of Electricity Maps and/or related parties. If you're in doubt about your rights to use this data, please contact api@co2signal.com",ok,CA-ON,79,13.83,gCO2eq/kWh
2023-04-26 12:00:00+00:00,"This data is the exclusive property of Electricity Maps and/or related parties. If you're in doubt about your rights to use this data, please contact api@co2signal.com",ok,CA-ON,61,10.02,gCO2eq/kWh
2023-04-26 11:00:00+00:00,"This data is the exclusive property of Electricity Maps and/or related parties. If you're in doubt about your rights to use this data, please contact api@co2signal.com",ok,CA-ON,57,9.13,gCO2eq/kWh
2023-04-26 10:00:00+00:00,"This data is the exclusive property of Electricity Maps and/or related parties. If you're in doubt about your rights to use this data, please contact api@co2signal.com",ok,CA-ON,41,5.9,gCO2eq/kWh
2023-04-26 09:00:00+00:00,"This data is the exclusive property of Electricity Maps and/or related parties. If you're in doubt about your rights to use this data, please contact api@co2signal.com",ok,CA-ON,41,5.9,gCO2eq/kWh
2023-04-26 08:00:00+00:00,"This data is the exclusive property of Electricity Maps and/or related parties. If you're in doubt about your rights to use this data, please contact api@co2signal.com",ok,CA-ON,36,4.79,gCO2eq/kWh
2023-04-26 07:00:00+00:00,"This data is the exclusive property of Electricity Maps and/or related parties. If you're in doubt about your rights to use this data, please contact api@co2signal.com",ok,CA-ON,34,4.43,gCO2eq/kWh
2023-04-26 06:00:00+00:00,"This data is the exclusive property of Electricity Maps and/or related parties. If you're in doubt about your rights to use this data, please contact api@co2signal.com",ok,CA-ON,38,5.27,gCO2eq/kWh
2023-04-26 05:00:00+00:00,"This data is the exclusive property of Electricity Maps and/or related parties. If you're in doubt about your rights to use this data, please contact api@co2signal.com",ok,CA-ON,81,14.16,gCO2eq/kWh
2023-04-26 04:00:00+00:00,"This data is the exclusive property of Electricity Maps and/or related parties. If you're in doubt about your rights to use this data, please contact api@co2signal.com",ok,CA-ON,74,12.85,gCO2eq/kWh
2023-04-26 00:00:00+00:00,"This data is the exclusive property of Electricity Maps and/or related parties. If you're in doubt about your rights to use this data, please contact api@co2signal.com",ok,CA-ON,60,9.9,gCO2eq/kWh
