,Imports (MW),Exports (MW),Net Import/Exports (MW),Power Generated (MW),Ontario Demand (MW),Total Emissions (tonnes),CO2e Intensity (g/kWh),nuclear (%),hydro (%),gas (%),wind (%),biofuel (%),solar (%),nuclear (MW),hydro (MW),gas (MW),wind (MW),biofuel (MW),solar (MW)
2021-10-14 09:00:00-04:00,1216.0,1565.0,349.0,15435.0,15086.0,769.0,50.0,54.7,23.3,14.8,6.7,0.2,0.3,8445.0,3594.0,2291.0,1033.0,31.0,41.0
2021-10-14 10:00:00-04:00,1239.0,1513.0,274.0,15536.0,15262.0,759.0,49.0,54.4,24.6,14.9,5.3,0.2,0.6,8444.0,3820.0,2308.0,826.0,38.0,100.0
2021-10-14 11:00:00-04:00,1105.0,1523.0,418.0,15824.0,15406.0,970.0,61.0,53.4,23.0,17.8,4.2,0.3,1.3,8445.0,3647.0,2820.0,665.0,47.0,200.0
2021-10-14 12:00:00-04:00,920.0,1711.0,791.0,16361.0,15570.0,1024.0,63.0,51.6,23.8,19.2,3.7,0.3,1.3,8447.0,3900.0,3144.0,605.0,47.0,218.0
2021-10-14 13:00:00-04:00,919.0,1458.0,539.0,16222.0,15683.0,1042.0,64.0,52.1,23.5,19.3,3.4,0.3,1.4,8457.0,3817.0,3128.0,551.0,43.0,226.0
2021-10-14 14:00:00-04:00,1023.0,1238.0,215.0,16062.0,15847.0,1061.0,66.0,52.6,24.1,18.9,2.8,0.2,1.3,8455.0,3874.0,3036.0,457.0,38.0,202.0
2021-10-14 15:00:00-04:00,1023.0,1702.0,679.0,16650.0,15971.0,1166.0,70.0,50.7,24.2,20.2,3.3,0.2,1.4,8447.0,4035.0,3363.0,545.0,31.0,229.0
2021-10-14 16:00:00-04:00,1087.0,1757.0,670.0,16766.0,16096.0,1174.0,70.0,50.4,24.8,19.5,4.1,0.2,1.1,8446.0,4153.0,3268.0,685.0,30.0,184.0
2021-10-14 17:00:00-04:00,1029.0,1542.0,513.0,17045.0,16532.0,1198.0,70.0,49.5,25.6,20.1,4.1,0.2,0.5,8439.0,4359.0,3423.0,706.0,31.0,87.0
2021-10-14 18:00:00-04:00,1026.0,1409.0,383.0,17039.0,16656.0,1216.0,71.0,49.5,25.8,20.6,3.8,0.2,0.2,8435.0,4392.0,3515.0,640.0,31.0,26.0
2021-10-14 19:00:00-04:00,795.0,924.0,129.0,16770.0,16641.0,1047.0,62.0,50.3,27.0,18.0,4.5,0.2,0.0,8437.0,4532.0,3016.0,751.0,32.0,2.0
2021-10-14 20:00:00-04:00,1167.0,1118.0,-49.0,16647.0,16696.0,862.0,52.0,50.6,27.1,15.4,6.6,0.2,0.0,8430.0,4514.0,2571.0,1099.0,33.0,0.0
