,ABKENORA,ADELAIDE,AGUASABON,ALEXANDER,AMARANTH,AMHERST ISLAND,APIROQUOIS,ARMOW,ARNPRIOR,ATIKOKAN-G1,AUBREYFALLS,BARRETT,BECK1,BECK2,BECK2 PGS,BELLE RIVER,BLAKE,BORNISH,BOW LAKE,BOW LAKE 2,BRIGHTON BEACH,BRUCEA-G1,BRUCEA-G2,BRUCEA-G3,BRUCEA-G4,BRUCEB-G5,BRUCEB-G6,BRUCEB-G7,BRUCEB-G8,CALSTOCKGS,CAMERONFALLS,CANYON,CARDINAL,CARIBOUFALLS,CARMICHAEL,CEDAR POINT 2,CHATSFALLS,CHENAUX,CLERGUE,COCHRANECGS,COMBER,CRYSLER,DA WATSON,DARLINGTON-G1,DARLINGTON-G2,DARLINGTON-G3,DARLINGTON-G4,DECEWFALLS,DECEWND1,DESJOACHIMS,DESTEC,DILLON,DOWCHEMICAL,DPNTMTLND,EARFALLS,EAST LAKE,EAST WINDSOR-G1,EAST WINDSOR-G2,ERIEAU,FORTFRANCSWC,GARTSHORE,GOSFIELDWGS,GOSHEN,GOULAIS,GRAND VALLEY 3,GRANDSF,GRANDWF,GREENFIELD ENERGY CENTRE-G1,GREENFIELD ENERGY CENTRE-G2,GREENFIELD ENERGY CENTRE-G3,GREENFIELD ENERGY CENTRE-G4,GREENFIELD SOUTH-G1,GREENFIELD SOUTH-G2,GREENWICH,GTAA-G1,GTAA-G2,GTAA-G3,HALTONHILLS-LT.G1,HALTONHILLS-LT.G2,HALTONHILLS-LT.G3,HARMON,HARMON 2,HARRIS,HENVEY NORTH,HENVEY SOUTH,HOLDEN,HOLINGSWTH,JERICHO,K2WIND,KAKABEKA,KAPGS,KINGSBRIDGE,KINGSTONSF,KIPLING,KIPLING 2,LAKESUPERIOR,LANDON,LENNOX-G1,LENNOX-G2,LENNOX-G3,LENNOX-G4,LITTLELONG,LITTLELONG 2,LONGSAULTE,LOWER WHITE RIVER,LOWERNOTCH,MACKAYGS,MANITOUFALLS,MCLEANSMTNWF-LT.AG_T1,MISSION,MTNCHUTE,NAGAGAMI,NANTICOKE SOLAR,NAPANEE-G1,NAPANEE-G2,NAPANEE-G3,NIPIGONGS,NORTH KENT,NORTHBAYGS,NORTHLAND POWER SOLAR FACILITIES,NPIROQFALLS,NPKIRKLAND-G1-G5,NPKIRKLAND-G6,OTTERRAPIDS,PAROCHES,PETER SUTHERLAND SR,PICKERINGA-G1,PICKERINGA-G4,PICKERINGB-G5,PICKERINGB-G6,PICKERINGB-G7,PICKERINGB-G8,PINEPORTAGE,PORT BURWELL,PORTALMA-T1,PORTALMA-T3,PORTLANDS-G1,PORTLANDS-G2,PORTLANDS-G3,PRINCEFARM,RAILBEDWF-LT.AG_SR,RAYNER,REDROCK,RIPLEY SOUTH,ROMNEY,SANDUSK-LT.AG_T1,SAUNDERS,SHANNON,SILVERFALLS,SITHE GOREWAY-G11,SITHE GOREWAY-G12,SITHE GOREWAY-G13,SITHE GOREWAY-G15,SMOKY 2,SOUTHGATE SF,SPENCE,STCLAIRCGS,STEEPHILL,STEWARTVLE,STONE MILLS SF,SUMMERHAVEN,TAOHSC,TASARNIA,TAWINDSOR,TBAYBOWATER CTS,THOROLDCGS,TUNISGS,UMBATAFALLS,UNDERWOOD,UPPER WHITE RIVER,WELLS,WEST LINCOLN NRWF,WESTWINDSOR,WHITBYCGS,WHITEDOG,WINDSOR AIRPORT SF,WOLFE ISLAND,YORKCGS-G1,YORKCGS-G2,ZURICH
2025-01-01 00:00:00-05:00,13,59,24,41,41,39,84,101,0,0,0,2,198,1321,2,93,34,68,0,0,0,824,825,0,806,820,826,825,816,18,49,239,0,56,9,92,23,83,33,0,158,76,14,849,868,862,0,144,10,397,0,72,16, ,15,93, ,0,92,4,0,49,82,0,28,0,46,0,0,0,0,0,0,20,0,0,0,32,33,0,0,6,3,33,51,194,0,138,185,11,0,23,0,6,0,0,40,0,0,0,0,5,0,15,7,0,0,41,9,4,0,3,0,0,0,0,0,94,0,0,0,0,0,75,47,10,0,0,516,517,526,524,87,62,93,91,0,0,0,0,256,19,16,36,57,0,389,21,47, ,0,0, ,6,0,92,0,2,18,0,50,0,141,0,0,0,0,16,59,4,0,36,0,0,38,0,55,0,0,75
2025-01-01 01:00:00-05:00,13,57,24,41,35,34,84,65,0,0,0,0,356,1365,1,92,37,68,0,0,0,824,825,0,806,820,825,825,816,19,49,192,0,56,9,92,23,83,33,0,156,79,14,849,869,863,0,144,10,397,0,72,16, ,15,90, ,0,96,4,0,47,82,0,25,0,84,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,3,38,45,194,0,138,145,11,0,20,0,0,0,0,39,0,0,0,0,0,0,15,7,0,0,41,11,4,0,3,0,0,0,0,0,94,0,0,0,0,0,82,47,9,0,0,514,517,525,524,88,62,91,91,0,0,0,0,258,18,16,25,57,0,389,22,1, ,0,0, ,0,0,89,0,2,18,0,69,0,137,0,0,0,0,16,60,4,0,94,0,0,38,0,49,0,0,78
2025-01-01 02:00:00-05:00,13,48,24,41,41,27,84,78,0,0,0,0,451,1350,17,90,36,63,0,0,0,824,825,0,806,820,825,825,816,20,49,191,0,56,9,93,23,84,33,0,151,75,13,849,870,863,0,144,10,397,0,72,16, ,15,87, ,0,95,4,0,42,82,1,28,0,95,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,3,48,52,198,0,139,114,12,0,18,0,0,0,0,38,0,0,0,0,0,0,15,7,0,0,41,12,4,0,3,0,0,0,0,0,94,0,0,0,0,0,83,47,9,0,0,516,517,527,524,89,60,92,91,0,0,0,14,257,15,16,42,57,0,389,26,0, ,0,0, ,0,0,95,0,2,18,0,76,0,137,0,0,0,0,16,87,4,0,144,0,0,38,0,37,0,0,86
2025-01-01 03:00:00-05:00,13,47,24,41,48,15,84,110,36,0,0,0,208,1028,3,89,33,58,0,0,0,823,825,0,805,820,825,824,815,20,49,192,0,56,9,93,1,85,34,0,147,51,14,849,870,863,0,144,10,345,0,72,16, ,15,85, ,0,95,4,0,41,79,2,30,0,109,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,3,51,59,205,0,141,180,12,0,22,0,0,0,0,37,0,0,0,0,0,0,15,7,0,0,41,15,4,0,3,0,0,0,0,0,93,0,0,0,0,0,83,47,9,0,0,516,517,527,524,89,61,94,91,0,0,0,18,258,12,16,53,56,0,390,30,0, ,0,0, ,0,0,97,0,2,18,0,92,0,138,0,0,0,0,16,109,4,0,161,0,0,38,0,27,0,0,77
2025-01-01 04:00:00-05:00,13,43,24,41,58,14,84,111,38,0,0,0,260,1244,3,90,34,52,3,2,65,823,824,0,806,820,825,824,815,19,49,192,0,56,9,92,0,85,33,0,146,12,14,848,871,862,0,145,10,358,0,72,16, ,15,86, ,0,94,4,0,41,76,3,32,0,115,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,3,46,57,185,0,144,192,12,0,25,0,0,0,0,30,0,0,0,0,0,0,15,7,0,0,41,18,4,0,3,0,0,0,0,0,90,0,0,0,0,0,83,47,9,0,0,516,517,525,524,89,51,92,91,0,0,0,30,257,12,16,61,56,0,390,42,48, ,0,0, ,0,0,98,0,2,18,0,95,0,137,0,0,0,0,16,103,4,0,166,0,0,38,0,22,0,0,86
2025-01-01 05:00:00-05:00,13,53,24,41,59,10,84,123,1,0,0,0,176,1030,3,82,45,63,6,8,239,823,824,0,806,820,824,824,816,18,49,191,0,56,9,92,0,101,33,0,137,24,13,846,870,862,0,144,10,363,0,72,18, ,15,83, ,0,92,4,0,30,85,3,32,0,115,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,3,58,66,202,19,147,233,12,0,29,0,0,0,0,33,0,0,0,0,0,0,15,7,0,0,41,11,4,0,3,0,0,0,0,0,88,0,0,0,0,0,9,47,9,0,0,516,518,527,524,88,49,92,90,0,0,0,53,255,11,16,65,56,0,389,48,49, ,0,0, ,0,0,96,0,2,18,0,98,0,137,0,0,0,0,16,115,4,0,178,0,0,38,0,15,0,0,90
2025-01-01 06:00:00-05:00,13,58,24,41,56,4,84,124,0,0,0,0,192,1157,3,75,55,68,3,8,337,823,824,0,806,819,824,824,816,21,49,191,0,56,9,93,23,115,34,0,114,18,31,846,870,863,0,144,10,363,0,70,19, ,15,71, ,0,85,4,0,24,96,1,33,0,110,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,3,57,73,202,20,147,237,13,0,28,0,0,0,0,37,0,0,0,0,0,0,15,7,0,0,41,21,4,81,3,0,0,0,0,0,86,0,0,0,0,0,2,46,9,0,0,516,518,527,524,89,32,89,88,0,0,0,57,247,15,16,66,56,0,387,48,1,0,0,0,0,0,0,92,0,2,18,0,90,0,137,0,0,0,0,16,105,4,0,156,0,0,39,0,14,0,0,95
2025-01-01 07:00:00-05:00,13,59,24,41,61,4,83,148,0,0,0,58,400,1212,3,63,57,70,2,5,338,823,824,0,806,819,824,824,816,28,49,191,0,60,9,93,24,115,34,0,89,17,63,846,870,862,0,144,10,411,0,67,19, ,15,67, ,0,80,4,57,22,99,6,33,0,113,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,3,49,59,205,20,144,251,14,0,30,0,0,0,0,40,0,0,0,0,0,0,15,7,0,44,41,17,4,85,3,0,0,0,0,0,80,0,0,0,0,0,2,42,9,0,0,516,518,527,524,60,26,80,80,0,0,0,79,243,11,16,72,55,0,387,51,0,0,0,0,0,0,0,87,0,2,18,0,99,0,137,0,0,0,0,16,125,4,0,149,0,0,42,0,17,0,0,96
2025-01-01 08:00:00-05:00,13,55,24,41,61,4,83,155,0,0,0,61,177,1144,3,60,55,59,0,1,336,823,824,0,806,819,822,824,816,30,49,190,0,60,9,92,24,115,33,0,80,23,65,846,870,863,0,144,10,414,0,59,18, ,15,58, ,0,72,4,75,25,95,12,37,0,130,0,0,0,0,0,0,44,0,0,0,0,0,0,69,0,3,54,66,204,20,140,242,13,0,30,3,67,0,0,35,0,0,0,0,59,0,15,7,0,46,41,18,4,83,3,0,0,0,0,0,60,0,0,0,0,0,2,40,9,0,0,516,516,525,524,58,31,67,67,0,0,0,75,228,13,16,68,52,0,386,50,48,0,0,0,0,80,0,83,0,2,18,0,109,0,137,0,0,0,0,16,141,4,0,182,0,0,42,0,3,0,0,95
2025-01-01 09:00:00-05:00,13,55,24,41,71,3,83,145,37,0,0,62,170,1042,3,41,49,60,0,0,337,823,824,0,806,819,821,823,815,30,49,232,0,60,9,90,46,115,33,0,54,20,65,846,869,863,0,144,10,415,0,48,19, ,15,55, ,0,60,4,77,13,92,13,39,5,132,0,0,0,0,0,0,37,0,0,0,0,0,0,72,0,3,49,66,205,20,141,201,13,0,27,6,69,0,0,39,0,0,0,0,60,0,15,7,106,48,41,16,4,76,3,2,0,0,0,0,52,0,0,0,0,0,60,29,9,0,0,514,518,527,524,53,45,51,53,0,0,0,75,185,14,16,54,45,0,386,56,49, ,0,0, ,82,0,70,0,2,62,0,98,0,137,0,0,0,0,16,132,4,0,205,0,0,42,2,3,0,0,92
