,ABKENORA,ADELAIDE,AGUASABON,ALEXANDER,AMARANTH,AMHERST ISLAND,APIROQUOIS,ARMOW,ARNPRIOR,ATIKOKAN-G1,AUBREYFALLS,BARRETT,BECK1,BECK2,BECK2 PGS,BELLE RIVER,BLAKE,BORNISH,BOW LAKE,BOW LAKE 2,BRIGHTON BEACH,BRUCEA-G1,BRUCEA-G2,BRUCEA-G3,BRUCEA-G4,BRUCEB-G5,BRUCEB-G6,BRUCEB-G7,BRUCEB-G8,CALSTOCKGS,CAMERONFALLS,CANYON,CARDINAL,CARIBOUFALLS,CARMICHAEL,CEDAR POINT 2,CHATSFALLS,CHENAUX,CLERGUE,COCHRANECGS,COMBER,CRYSLER,DA WATSON,DARLINGTON-G1,DARLINGTON-G2,DARLINGTON-G3,DARLINGTON-G4,DECEWFALLS,DECEWND1,DESJOACHIMS,DESTEC,DILLON,DOWCHEMICAL,DPNTMTLND,EARFALLS,EAST LAKE,EAST WINDSOR-G1,EAST WINDSOR-G2,ERIEAU,FORTFRANCSWC,GARTSHORE,GOREWAY BESS,GOSFIELDWGS,GOSHEN,GOULAIS,GRAND VALLEY 3,GRANDSF,GRANDWF,GREENFIELD ENERGY CENTRE-G1,GREENFIELD ENERGY CENTRE-G2,GREENFIELD ENERGY CENTRE-G3,GREENFIELD ENERGY CENTRE-G4,GREENFIELD SOUTH-G1,GREENFIELD SOUTH-G2,GREENWICH,GTAA-G1,GTAA-G2,GTAA-G3,HAGERSVILLE BESS,HALTONHILLS-LT.G1,HALTONHILLS-LT.G2,HALTONHILLS-LT.G3,HARMON,HARMON 2,HARRIS,HENVEY NORTH,HENVEY SOUTH,HOLDEN,HOLINGSWTH,HYDROGEN READY POWER PLANT (HRPP),JERICHO,K2WIND,KAKABEKA,KAPGS,KINGSBRIDGE,KINGSTONSF,KIPLING,KIPLING 2,LAKESUPERIOR,LANDON,LENNOX-G1,LENNOX-G2,LENNOX-G3,LENNOX-G4,LITTLELONG,LITTLELONG 2,LONGSAULTE,LOWER WHITE RIVER,LOWERNOTCH,MACKAYGS,MANITOUFALLS,MCLEANSMTNWF-LT.AG_T1,MISSION,MTNCHUTE,NAGAGAMI,NANTICOKE SOLAR,NAPANEE BESS,NAPANEE-G1,NAPANEE-G2,NAPANEE-G3,NIPIGONGS,NORTH KENT,NORTHBAYGS,NORTHLAND POWER SOLAR FACILITIES,NPIROQFALLS,NPKIRKLAND-G1-G5,NPKIRKLAND-G6,ONEIDA ENERGY STORAGE,OTTERRAPIDS,PAROCHES,PETER SUTHERLAND SR,PICKERINGA-G1,PICKERINGA-G4,PICKERINGB-G5,PICKERINGB-G6,PICKERINGB-G7,PICKERINGB-G8,PINEPORTAGE,PORT BURWELL,PORTALMA-T1,PORTALMA-T3,PORTLANDS-G1,PORTLANDS-G2,PORTLANDS-G3,PRINCEFARM,RAILBEDWF-LT.AG_SR,RAYNER,REDROCK,RIPLEY SOUTH,ROMNEY,SANDUSK-LT.AG_T1,SAUNDERS,SHANNON,SILVERFALLS,SITHE GOREWAY-G11,SITHE GOREWAY-G12,SITHE GOREWAY-G13,SITHE GOREWAY-G15,SMOKY 2,SOUTHGATE SF,SPENCE,STCLAIRCGS,STEEPHILL,STEWARTVLE,STONE MILLS SF,SUMMERHAVEN,TAOHSC,TASARNIA,TAWINDSOR,TBAYBOWATER CTS,THOROLDCGS,TILBURY BATTERY STORAGE,TUNISGS,UMBATAFALLS,UNDERWOOD,UPPER WHITE RIVER,WELLS,WEST LINCOLN NRWF,WESTWINDSOR,WHITBYCGS,WHITEDOG,WINDSOR AIRPORT SF,WOLFE ISLAND,YORK BESS,YORKCGS-G1,YORKCGS-G2,ZURICH
2026-01-01 00:00:00-05:00,12,59,0,41,82,50,30,133,0,0,0,0,437,1229,9,90,54,69,7,2,0,826,827,0,0,818,825,822,818,13,52,1,0,60,8,86,0,34,47,0,146,73,58,870,876,877,0,136,20,207,0,68,16, ,26,76,0,0,86,5,24,0,17,95,17,20,0,38,194,194,194,280,116,69,96,0,0,0,0,157,42,85,0,0,4,41,58,92,22,0,133,247,0,0,28,0,0,0,42,40,0,0,0,0,0,0,5,3,0,19,53,38,5,0,0,0,0,215,286,240,0,88,0,0,0,0,0,0,46,47,8,0,0,514,496,511,522,69,25,67,81,13,14,27,84,251,0,14,58,56,46,279,60,45,73,60,68,176,0,0,95,554,3,0,0,35,0,131,0,0,0,0,0,10,136,2,0,107,0,0,22,0,80,0,0,0,93
2026-01-01 01:00:00-05:00,12,59,0,41,76,50,30,148,0,0,0,0,417,1232,9,87,54,69,8,3,0,827,824,0,0,818,825,822,818,13,52,0,0,60,8,86,0,34,48,0,123,82,58,871,876,875,0,92,19,155,0,68,16, ,26,78,0,0,76,5,33,0,14,95,14,20,0,39,201,201,200,305,116,69,98,0,0,0,0,221,0,88,0,0,4,25,50,92,22,0,134,248,0,0,31,0,0,0,41,40,0,0,0,0,0,0,6,3,0,19,42,39,5,0,0,0,0,215,288,241,0,86,0,0,0,0,0,0,48,47,8,0,0,512,496,511,522,69,27,65,79,0,0,0,59,248,0,14,58,56,23,279,61,48,106,71,61,175,0,0,83,576,3,0,0,11,0,131,0,0,0,0,0,10,145,2,0,75,0,0,22,0,80,0,0,0,93
2026-01-01 02:00:00-05:00,12,59,0,41,88,71,30,150,0,0,0,0,400,1227,9,85,54,68,8,3,0,827,826,0,0,817,825,822,818,13,52,0,0,60,8,86,0,34,49,0,104,75,58,872,876,875,0,70,12,154,0,55,16, ,26,72,0,0,67,5,34,0,12,95,4,20,0,34,201,201,200,305,116,69,98,0,0,0,0,235,0,97,0,0,3,25,38,92,22,0,132,246,0,0,35,0,0,0,41,40,0,0,0,0,0,0,6,3,0,19,42,32,4,0,0,0,0,215,289,241,0,76,0,0,0,0,0,0,47,46,8,0,0,507,494,507,522,69,45,54,61,0,0,0,42,220,0,14,57,47,17,278,61,2,177,79,94,205,0,0,77,576,3,0,0,11,0,130,0,0,0,0,0,10,143,2,0,99,0,0,22,0,80,0,0,0,93
2026-01-01 03:00:00-05:00,12,59,0,41,62,55,30,155,0,0,0,0,254,1162,9,76,54,67,8,3,9,826,827,0,0,817,825,822,817,13,52,0,0,60,8,86,0,34,50,0,88,70,58,872,876,873,0,40,5,154,0,48,16, ,26,70,0,0,52,5,35,0,11,95,1,20,0,20,200,200,200,304,120,70,98,0,0,0,0,202,71,80,0,0,3,53,74,92,22,0,129,239,0,0,35,0,0,0,42,40,0,0,0,0,0,0,6,3,0,19,42,23,4,0,0,0,0,217,290,241,0,72,0,0,0,0,0,0,47,46,8,0,0,501,493,504,522,69,52,42,46,0,0,0,48,187,0,14,58,39,6,277,61,0,193,71,180,231,0,0,62,575,3,0,0,2,0,130,0,0,0,0,0,10,142,2,0,74,0,0,22,0,80,0,0,0,93
2026-01-01 04:00:00-05:00,12,59,0,41,46,52,30,155,0,0,0,0,249,1104,9,70,54,67,0,10,11,826,826,0,0,816,825,822,817,13,52,0,0,60,8,86,0,34,50,0,84,77,57,872,875,873,0,40,4,153,0,47,16, ,26,76,0,0,44,5,36,0,13,94,1,20,0,4,200,201,200,305,120,70,95,0,0,0,0,200,109,120,0,0,3,37,64,92,22,0,129,244,0,0,34,0,0,0,42,40,0,0,0,0,0,0,5,3,0,19,42,12,4,0,0,0,0,220,290,240,0,81,0,0,0,0,0,0,47,45,8,0,0,500,492,503,521,69,54,40,53,14,15,0,103,180,0,14,56,51,16,278,58,46,193,118,171,243,0,0,65,575,3,0,0,0,0,130,0,0,0,0,0,10,135,2,0,50,0,0,22,0,80,0,0,0,93
2026-01-01 05:00:00-05:00,12,57,0,41,53,46,30,141,0,0,0,0,213,1090,9,68,54,66,7,2,34,826,824,0,0,817,824,822,818,13,51,0,0,60,8,85,0,49,50,0,80,79,56,872,875,872,0,40,4,154,0,54,16, ,26,69,0,0,54,4,36,0,13,95,10,20,0,5,199,199,199,304,116,69,97,0,0,0,0,211,190,186,0,0,3,26,47,112,21,0,128,238,0,0,32,0,0,0,42,40,0,0,0,0,0,0,6,3,0,19,42,8,3,0,0,0,0,284,289,335,0,73,0,0,0,0,0,0,47,45,8,0,0,502,492,504,521,69,55,44,51,57,60,64,136,205,1,14,57,54,32,277,56,47,98,74,90,185,0,0,78,575,3,0,0,6,0,130,0,0,0,0,0,9,133,2,0,23,0,0,22,0,80,0,0,0,93
2026-01-01 06:00:00-05:00,12,52,0,41,60,38,30,68,0,0,0,0,241,1316,9,53,53,60,9,2,124,826,824,0,0,816,825,822,819,13,51,58,0,60,8,85,0,50,49,0,66,78,56,872,876,872,0,40,4,192,0,52,18, ,26,51,0,0,52,5,36,0,13,94,22,20,0,23,187,187,187,287,121,70,96,0,0,0,0,152,152,156,0,0,3,12,17,114,19,0,126,192,0,0,29,0,0,0,42,39,0,0,0,0,0,0,6,3,0,19,42,13,4,0,0,0,0,290,289,389,0,64,0,0,0,0,0,0,47,41,8,0,0,502,492,504,522,69,63,45,56,145,146,157,151,202,36,14,40,46,43,278,51,2,208,200,202,282,0,0,75,575,14,0,0,21,0,130,0,0,0,0,0,9,71,2,0,13,0,0,22,0,80,0,0,0,93
2026-01-01 07:00:00-05:00,12,52,0,41,61,34,43,37,37,0,0,0,256,1216,9,42,53,64,0,9,290,826,823,0,0,817,824,822,819,13,52,60,0,87,8,85,0,51,49,0,45,75,56,871,875,872,0,40,5,179,0,43,19, ,26,46,0,0,52,5,36,0,10,92,25,22,0,32,200,201,200,303,169,87,92,0,0,0,0,228,229,211,0,0,3,26,29,114,17,0,126,220,0,0,33,0,0,0,28,40,0,0,0,0,0,0,7,3,0,19,43,21,4,0,0,0,0,290,290,390,0,54,0,0,0,0,0,0,47,35,8,0,0,502,491,504,522,69,61,38,44,212,213,216,155,199,31,14,45,39,37,278,54,0,214,207,210,315,0,0,75,580,15,0,0,25,0,226,0,0,0,0,0,9,19,2,0,22,0,0,22,0,80,0,0,0,93
2026-01-01 08:00:00-05:00,12,47,0,41,54,24,43,75,1,0,0,0,401,1187,9,33,55,58,8,0,307,826,823,0,0,818,825,822,819,13,52,60,0,89,8,82,0,66,48,0,44,63,56,871,875,872,0,40,5,188,0,34,20, ,26,42,0,0,49,5,31,0,9,91,24,22,3,15,199,199,199,303,171,93,90,0,0,0,0,225,225,217,0,0,3,22,15,113,18,0,117,239,0,0,33,1,0,0,1,38,0,0,0,0,0,0,7,3,0,19,43,19,4,0,0,1,0,290,289,389,0,56,0,0,0,0,0,0,47,34,8,0,0,502,491,504,522,69,63,28,27,213,213,236,148,152,34,14,55,37,11,278,52,46,214,207,210,318,0,0,64,592,14,0,0,10,0,268,0,0,0,0,0,9,22,2,0,50,0,0,42,1,29,0,0,0,93
2026-01-01 09:00:00-05:00,12,29,0,41,13,17,43,124,0,0,0,0,415,1132,9,23,53,45,10,0,307,826,823,0,0,818,824,822,819,13,52,113,0,89,7,82,0,67,48,0,29,45,56,871,875,872,0,40,6,180,0,14,19, ,26,26,0,0,29,5,27,0,4,91,24,22,17,0,200,200,200,302,190,103,81,0,0,0,0,235,235,225,0,0,3,41,47,113,17,0,108,239,0,0,33,3,0,0,18,32,0,0,0,0,0,0,6,3,0,19,55,12,4,0,0,2,0,290,289,389,0,27,0,1,0,0,0,3,47,25,8,0,0,502,491,502,521,69,62,15,21,213,213,239,147,91,31,14,53,29,8,277,22,47,214,207,210,320,0,0,45,622,14,0,2,0,0,272,0,0,0,0,0,9,46,2,0,25,0,0,43,6,21,0,0,0,93
