Date,Commodity price (¢/m³),Gas cost adjustment (¢/m³),Effective price (¢/m³)
2024-04-01,12.5862,-0.2167,12.3695
2024-01-01,15.6846,2.6071,18.2917
2023-10-01,16.0097,3.6236,19.6333
2023-07-01,14.4233,8.8202,23.2435
2023-04-01,15.9078,6.8249,22.7327
2023-01-01,26.2350,7.3320,33.5670
2022-10-01,32.9173,4.8866,37.8039
2022-07-01,30.6718,-0.2111,30.4607
2022-04-01,20.8153,-1.2445,19.5708
2022-01-01,19.8769,-3.4334,16.4435
2021-10-01,17.1216,-2.2592,14.8624
2021-07-01,13.1110,-1.1412,11.9698
2021-04-01,13.7598,-0.9051,12.8547
2021-01-01,13.3414,-0.5254,12.8160
2020-10-01,12.5995,0.5702,13.1697
2020-07-01,10.4902,1.1393,11.6295
2020-04-01,10.4902,1.1393,11.6295
2020-01-01,12.0136,1.9403,13.9539
2019-10-01,11.5793,2.4192,13.9985
2019-07-01,13.2125,3.8340,17.0465
2019-04-01,13.7037,3.6669,17.3706
2019-01-01,15.2864,3.2233,18.5097
2018-10-01,13.4702,0.0787,13.5489
2018-04-01,12.5991,0.3081,12.9072
2018-01-01,13.9084,0.6535,14.5619
2017-10-01,14.0136,0.9915,15.0051
2017-07-01,16.5726,1.0692,17.6418
2017-04-01,16.1402,-0.1315,16.0087
2017-01-01,16.3002,-2.1882,14.112
