Date,Commodity price (¢/m³),Gas cost adjustment (¢/m³),Effective price (¢/m³)
2024-04-01,10.9959,-2.9454,8.0505
2024-01-01,12.1436,-0.6446,11.4990
2023-10-01,13.7496,-0.2271,13.5225
2023-07-01,12.8917,0.4477,13.3394
2023-04-01,14.1374,-0.5576,13.5798
2023-01-01,22.1861,0.8976,23.0837
2022-10-01,30.2414,-0.3965,29.8449
2022-07-01,27.5852,-1.5510,26.0342
2022-04-01,18.2668,-2.9320,15.3348
2022-01-01,17.1442,-4.6091,12.5351
2021-10-01,15.5213,-2.3543,13.1670
2021-07-01,12.1594,-1.5073,10.6521
2021-04-01,12.2538,-1.1009,11.1529
2021-01-01,11.4834,1.8112,13.2946
2020-10-01,10.6669,-1.0114,9.6555
2020-07-01,8.4673,0.9597,9.4270
2020-04-01,8.4673,0.9597,9.4270
2020-01-01,10.0062,-0.6648,9.3414
2019-10-01,9.3145,-0.4924,8.8221
2019-07-01,10.4839,-0.9848,9.4991
2019-04-01,11.2479,-0.5385,10.7094
2019-01-01,12.2024,-0.7546,11.4478
2018-10-01,10.5613,0.0493,10.6106
2018-04-01,9.6085,-0.9836,8.6249
2018-01-01,10.1887,0.2388,10.4275
2017-10-01,10.3795,1.1618,11.5413
2017-07-01,11.8713,0.2764,12.1477
2017-04-01,12.4439,-0.1838,12.2601
2017-01-01,11.7711,-1.7023,10.0688
