Date,Commodity price (¢/m³),Gas cost adjustment (¢/m³),Effective price (¢/m³)
2024-04-01,9.7413,1.7283,8.0130
2024-01-01,11.7575,2.0308,13.7883
2023-10-01,13.1971,3.6781,16.8752
2023-07-01,11.9070,3.8665,15.7735
2023-04-01,13.2318,2.0386,15.2704
2023-01-01,21.2666,1.7667,23.0333
2022-10-01,27.6575,0.2452,27.9027
2022-07-01,27.6752,-0.8072,26.868
2022-04-01,18.3745,-0.6652,17.7093
2022-01-01,16.7717,-2.2516,14.5201
2021-10-01,14.9222,-1.6354,13.2868
2021-07-01,11.8074,-1.0923,10.7151
2021-04-01,11.9527,-0.9663,10.9864
2021-01-01,11.4206,-1.0643,10.3563
2020-10-01,10.5181,-0.7151,9.8030
2020-07-01,7.7601,0.1738,7.9339
2020-04-01,7.7601,0.1738,7.9339
2020-01-01,9.3487,0.8354,10.1841
2019-10-01,8.9727,0.6541,9.6268
2019-07-01,10.3774,1.2349,11.6123
2019-04-01,10.6909,1.2125,11.9034
2019-01-01,12.4364,0.6292,13.0656
2018-10-01,10.0500,0.3813,10.4313
2018-04-01,9.4452,-0.2106,9.2346
2018-01-01,10.0943,0.5556,10.6499
2017-10-01,9.8252,0.7328,10.5580
2017-07-01,12.0636,0.3609,12.4245
2017-04-01,11.3759,-0.4014,10.9745
2017-01-01,11.4462,-0.9177,10.5285
2016-10-01,11.1796,-0.5357,10.6439
2016-07-01,9.6276,-0.0561,9.5715
2016-04-01,9.1760,2.2088,11.3848
2016-01-01,10.5327,1.2158,11.7485
2015-10-01,12.2443,0.8524,13.0967
2015-07-01,12.1794,2.5730,14.7524
2015-04-01,11.7285,2.7224,14.4509
2015-01-01,14.7363,3.5797,18.3160
2014-10-01,14.6243,3.0512,17.6755
2014-07-01,17.6031,0.9156,18.5187
2014-04-01,17.6031,3.2928,20.8959
2014-01-01,12.6789,-0.9377,11.7412
2013-10-01,12.3038,-0.8424,11.4614
2013-07-01,14.0017,-1.0981,12.9036
2013-04-01,12.1485,-1.8514,10.2971
2013-01-01,12.8548,-2.1245,10.7303
2012-10-01,10.7186,-1.9119,8.8067
2012-07-01,9.8460,-1.3724,8.4736
2012-04-01,9.4150,-1.3502,8.0648
2012-01-01,11.8492,-0.7036,11.1456
2011-10-01,13.6891,-1.4607,12.2284
2011-07-01,14.9268,-1.8462,13.0806
2011-04-01,13.9780,-2.1653,11.8127
2011-01-01,14.4229,-2.1734,12.2495
2010-10-01,15.4224,-1.6406,13.7818
2010-07-01,17.2987,-1.0873,16.2114
2010-04-01,21.1631,-0.0460,21.1171
2010-01-01,19.9690,-7.0549,12.9141
2009-10-01,19.8615,-6.9075,12.954
2009-07-01,20.4349,-5.7200,14.7149
2009-04-01,23.5363,-6.1615,17.3748
2009-01-01,30.3652,-1.2088,29.1564
2008-10-01,33.7551,1.7008,35.4559
2008-07-01,39.0121,-0.8578,38.1543
2008-04-01,30.3556,-3.9604,26.3952
2008-01-01,26.7601,-2.2612,24.4989
2007-10-01,29.0978,-3.0868,26.0110
2007-07-01,32.8599,-6.6333,26.2266
2007-04-01,32.8599,-3.8645,28.9954
2007-01-01,31.4844,-0.8735,30.6109
2006-10-01,34.0717,-11.5645,22.5072
2006-07-01,34.0717,-6.2430,27.8287
2006-04-01,35.396,-1.6354,33.7606
2006-01-01,43.1228,-1.9301,41.1927
