\\Generator Output Capability Month Report,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Created at 2026-09-03 06:00:06,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\For September 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delivery Date,Generator,Fuel Type,Measurement,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24
2026-09-01,ABKENORA,HYDRO,Capability,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
2026-09-01,ABKENORA,HYDRO,Output,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,
2026-09-01,ADELAIDE,WIND,Available Capacity,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,
2026-09-01,ADELAIDE,WIND,Forecast,29,28,23,28,25,19,13,5,0,0,1,2,1,0,0,0,0,0,0,0,0,0,4,8,
2026-09-01,ADELAIDE,WIND,Output,30,28,24,29,25,19,13,4,0,0,0,3,1,0,0,0,0,1,1,0,0,1,5,8,
2026-09-01,AGUASABON,HYDRO,Capability,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,
2026-09-01,AGUASABON,HYDRO,Output,0,0,0,0,0,0,0,0,20,39,39,39,39,39,39,39,38,38,38,38,38,38,21,21,
2026-09-01,ALEXANDER,HYDRO,Capability,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,
2026-09-01,ALEXANDER,HYDRO,Output,56,56,56,56,56,56,56,55,55,55,55,55,55,55,55,55,55,55,56,56,56,56,56,56,
2026-09-01,AMARANTH,WIND,Available Capacity,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,
2026-09-01,AMARANTH,WIND,Forecast,35,27,27,22,19,13,6,1,0,0,2,1,5,8,6,1,2,0,0,0,0,0,5,12,
2026-09-01,AMARANTH,WIND,Output,42,33,32,25,22,13,7,1,0,0,0,1,7,9,6,2,3,1,0,0,0,1,7,15,
2026-09-01,AMHERST ISLAND,WIND,Available Capacity,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,
2026-09-01,AMHERST ISLAND,WIND,Forecast,0,0,0,0,5,10,18,44,15,13,13,10,8,4,0,0,0,0,0,0,0,0,0,0,
2026-09-01,AMHERST ISLAND,WIND,Output,0,0,0,0,6,12,21,46,12,14,14,10,8,4,0,0,0,0,0,0,0,0,0,0,
2026-09-01,APIROQUOIS,HYDRO,Capability,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,
2026-09-01,APIROQUOIS,HYDRO,Output,0,0,0,0,0,0,28,43,41,46,49,49,48,47,47,47,47,47,47,47,47,47,47,47,
2026-09-01,ARLEN BESS,OTHER,Capability,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,
2026-09-01,ARLEN BESS,OTHER,Output,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-09-01,ARMOW,WIND,Available Capacity,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,
2026-09-01,ARMOW,WIND,Forecast,122,96,56,40,25,12,10,5,0,0,2,5,8,7,6,2,2,0,0,0,0,12,36,60,
2026-09-01,ARMOW,WIND,Output,119,93,54,39,23,12,10,5,0,0,2,5,8,7,6,2,2,0,0,0,0,14,39,62,
2026-09-01,ARNPRIOR,HYDRO,Capability,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,
2026-09-01,ARNPRIOR,HYDRO,Output,0,0,0,0,0,0,0,0,0,30,38,1,0,37,38,38,1,37,38,38,38,38,2,12,
2026-09-01,ATIKOKAN-G1,BIOFUEL,Capability,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,
2026-09-01,ATIKOKAN-G1,BIOFUEL,Output,13,0,0,0,0,12,51,73,109,122,93,78,97,68,57,71,111,109,97,120,63,54,61,89,
2026-09-01,AUBREYFALLS,HYDRO,Capability,132,132,132,132,132,132,132,0,0,0,0,0,0,0,132,132,132,132,132,132,132,132,132,132,
2026-09-01,AUBREYFALLS,HYDRO,Output,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,64,64,63,63,1,0,0,0,
2026-09-01,BARRETT,HYDRO,Capability,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,
2026-09-01,BARRETT,HYDRO,Output,2,2,2,2,2,2,20,21,21,21,21,21,81,84,84,84,84,84,84,59,57,3,2,2,
2026-09-01,BECK1,HYDRO,Capability,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,
2026-09-01,BECK1,HYDRO,Output,318,320,321,316,198,226,209,225,371,477,459,477,474,203,169,280,433,447,425,474,482,482,427,347,
2026-09-01,BECK2,HYDRO,Capability,1402,1402,1402,1402,1402,1402,1402,1402,1402,1402,1402,1402,1402,1402,1402,1402,1402,1402,1402,1402,1402,1402,1402,1402,
2026-09-01,BECK2,HYDRO,Output,931,955,909,927,963,995,1071,1030,1110,1144,1127,1141,1035,1054,1042,1191,1062,1031,1065,1089,1004,1063,914,966,
2026-09-01,BECK2 PGS,HYDRO,Capability,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,
2026-09-01,BECK2 PGS,HYDRO,Output,0,0,0,0,0,0,0,6,32,44,44,58,33,24,4,10,44,13,10,9,2,0,0,0,
