,imports,exports,netImportExports,POWER GENERATED,ONTARIO DEMAND,TOTAL EMISSIONS,CO2e INTENSITY,nuclearPercentage,hydroPercentage,gasPercentage,windPercentage,biofuelPercentage,solarPercentage,nuclearOutput,hydroOutput,gasOutput,windOutput,biofuelOutput,solarOutput
"Thu Oct 14, 8 AM - 9 AM","1,216 MW","1,565 MW",349 MW,"15,435 MW","15,086 MW",769 tonnes,50 g/kWh,54.7%,23.3%,14.8%,6.7%,0.2%,0.3%,"8,445 MW","3,594 MW","2,291 MW","1,033 MW",31 MW,41 MW
"Thu Oct 14, 9 AM - 10 AM","1,239 MW","1,513 MW",274 MW,"15,536 MW","15,262 MW",759 tonnes,49 g/kWh,54.4%,24.6%,14.9%,5.3%,0.2%,0.6%,"8,444 MW","3,820 MW","2,308 MW",826 MW,38 MW,100 MW
"Thu Oct 14, 10 AM - 11 AM","1,105 MW","1,523 MW",418 MW,"15,824 MW","15,406 MW",970 tonnes,61 g/kWh,53.4%,23.0%,17.8%,4.2%,0.3%,1.3%,"8,445 MW","3,647 MW","2,820 MW",665 MW,47 MW,200 MW
"Thu Oct 14, 11 AM - 12 PM",920 MW,"1,711 MW",791 MW,"16,361 MW","15,570 MW","1,024 tonnes",63 g/kWh,51.6%,23.8%,19.2%,3.7%,0.3%,1.3%,"8,447 MW","3,900 MW","3,144 MW",605 MW,47 MW,218 MW
"Thu Oct 14, 12 PM - 1 PM",919 MW,"1,458 MW",539 MW,"16,222 MW","15,683 MW","1,042 tonnes",64 g/kWh,52.1%,23.5%,19.3%,3.4%,0.3%,1.4%,"8,457 MW","3,817 MW","3,128 MW",551 MW,43 MW,226 MW
"Thu Oct 14, 1 PM - 2 PM","1,023 MW","1,238 MW",215 MW,"16,062 MW","15,847 MW","1,061 tonnes",66 g/kWh,52.6%,24.1%,18.9%,2.8%,0.2%,1.3%,"8,455 MW","3,874 MW","3,036 MW",457 MW,38 MW,202 MW
"Thu Oct 14, 2 PM - 3 PM","1,023 MW","1,702 MW",679 MW,"16,650 MW","15,971 MW","1,166 tonnes",70 g/kWh,50.7%,24.2%,20.2%,3.3%,0.2%,1.4%,"8,447 MW","4,035 MW","3,363 MW",545 MW,31 MW,229 MW
"Thu Oct 14, 3 PM - 4 PM","1,087 MW","1,757 MW",670 MW,"16,766 MW","16,096 MW","1,174 tonnes",70 g/kWh,50.4%,24.8%,19.5%,4.1%,0.2%,1.1%,"8,446 MW","4,153 MW","3,268 MW",685 MW,30 MW,184 MW
"Thu Oct 14, 4 PM - 5 PM","1,029 MW","1,542 MW",513 MW,"17,045 MW","16,532 MW","1,198 tonnes",70 g/kWh,49.5%,25.6%,20.1%,4.1%,0.2%,0.5%,"8,439 MW","4,359 MW","3,423 MW",706 MW,31 MW,87 MW
"Thu Oct 14, 5 PM - 6 PM","1,026 MW","1,409 MW",383 MW,"17,039 MW","16,656 MW","1,216 tonnes",71 g/kWh,49.5%,25.8%,20.6%,3.8%,0.2%,0.2%,"8,435 MW","4,392 MW","3,515 MW",640 MW,31 MW,26 MW
"Thu Oct 14, 6 PM - 7 PM",795 MW,924 MW,129 MW,"16,770 MW","16,641 MW","1,047 tonnes",62 g/kWh,50.3%,27.0%,18.0%,4.5%,0.2%,0.0%,"8,437 MW","4,532 MW","3,016 MW",751 MW,32 MW,2 MW
"Thu Oct 14, 7 PM - 8 PM","1,167 MW","1,118 MW",-49 MW,"16,647 MW","16,696 MW",862 tonnes,52 g/kWh,50.6%,27.1%,15.4%,6.6%,0.2%,0.0%,"8,430 MW","4,514 MW","2,571 MW","1,099 MW",33 MW,0 MW
"Thu Oct 14, 8 PM - 9 PM","1,044 MW","1,332 MW",288 MW,"16,484 MW","16,196 MW",784 tonnes,48 g/kWh,51.1%,28.1%,14.5%,6.1%,0.2%,0.0%,"8,423 MW","4,634 MW","2,389 MW","1,005 MW",33 MW,0 MW
